District,Village,HH_ID,Burnt,Latitude_Baseline_measurement,Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Latitude_Photo_Median,Longitude_Photo_Median,Lat_mean,Lon_mean
Fategharh,Dera Mir Miran,117916,Y,30.66009667,76.36368167,,,30.395718,76.214925,30.6598,76.3647,30.57187156,76.31443556
Fategharh,Dera Mir Miran,117920,Y,30.659795,76.36480833,,,30.654501,76.360794,30.6544,76.3608,30.656232,76.36213411
Fategharh,Dera Mir Miran,117922,Y,30.65959333,76.36440333,,,30.657124,76.3666536,30.6598,76.363823,30.65883911,76.36495998
Fategharh,Dera Mir Miran,117924,Y,30.66038833,76.36405,,,30.394947,76.213408,30.6638,76.359474,30.57304511,76.31231067
Fategharh,Dera Mir Miran,117928,Y,30.65880167,76.36340833,30.3931351,76.2149268,30.656951,76.362884,,,30.56962926,76.31373971
Fategharh,Dera Mir Miran,117930,Y,30.39342,76.216608,30.659761,76.365552,30.658387,76.358008,30.65830421,76.35799408,30.59246805,76.32454052
Fategharh,Dera Mir Miran,117933,Y,30.65980333,76.36479333,,,30.40009,76.214919,30.667,76.3637,30.57563111,76.31447078
Fategharh,Harlalpur,125901,N,30.6490307,76.3529205,30.649624,76.352744,30.390042,76.211009,30.65012932,76.35286713,30.5847065,76.31738516
Fategharh,Harlalpur,125902,Y,30.6485672,76.3535614,30.649511,76.352736,30.652352,76.352828,30.65237045,76.35279846,30.65070016,76.35298097
Fategharh,Harlalpur,125903,Y,30.648492,76.3530502,30.64931289,76.35276981,30.65242004,76.34850311,30.6486,76.3583,30.64970623,76.35315578
Fategharh,Harlalpur,125904,N,30.64919833,76.35352667,,,30.391714,76.210813,30.6546,76.3523,30.56517078,76.30554656
Fategharh,Harlalpur,125913,N,30.6492214,76.3529053,30.649286,76.352783,30.654881,76.352587,30.6433,76.3997,30.6491721,76.36449383
Fategharh,Harlalpur,125914,Y,30.649575,76.35264,,,30.648737,76.34499,30.6501,76.3528,30.64947067,76.35014333
Fategharh,Harlalpur,125916,Y,30.64839833,76.35344167,30.566612,76.545802,30.654444,76.351708,30.6544,76.3517,30.63096358,76.40066292
Fategharh,Harlalpur,125925,Y,30.65030333,76.35699167,,,30.653594,76.353034,30.6535,76.3531,30.65246578,76.35437522
Fategharh,Harlalpur,125929,Y,30.64949,76.35573833,,,30.64449221,76.355281,30.6488,76.3528,30.64759407,76.35460644
Fategharh,Harlalpur,125932,Y,30.649465,76.35462667,30.63063667,76.26836833,30.384145,76.211275,30.6449,76.3535,30.57728667,76.2969425
Fategharh,Hussainpura,126606,Y,30.71694167,76.43517167,30.71813049,76.43478731,30.719872,76.463325,30.71989632,76.46320343,30.71871012,76.44912185
Fategharh,Hussainpura,126607,Y,30.71713,76.43605,,,30.721104,76.447059,30.7211,76.447,30.719778,76.44336967
Fategharh,Hussainpura,126611,Y,30.70997333,76.44453667,,,30.708033,76.441763,30.708,76.4418,30.70866878,76.44269989
Fategharh,Hussainpura,126628,Y,30.71777167,76.43795667,30.71817167,76.43773833,30.718751,76.437859,30.7186,76.4379,30.71832358,76.4378635
Fategharh,Hussainpura,126631,Y,30.7189846,76.436352,30.718175,76.437686,30.719104,76.436336,30.7188,76.436,30.7187659,76.4365935
Fategharh,Hussainpura,126633,Y,30.71882333,76.43584167,,,30.231339,76.436441,30.7197,76.4364,30.55662078,76.43622756
Fategharh,Jiwanpura,128907,Y,,,,,30.525086,76.464407,30.5252,76.4645,30.525143,76.4644535
Fategharh,Jiwanpura,128908,Y,30.53414667,76.49368167,30.76101667,76.08657,30.520358,76.471046,30.52046967,76.47106934,30.58399775,76.38059175
Fategharh,Jiwanpura,128914,Y,30.517,76.465,30.51607333,76.46718167,30.534156,76.480647,30.5313,76.4773,30.52463233,76.47253217
Fategharh,Jiwanpura,128921,N,30.51887667,76.46447667,,,30.515921,76.465926,30.5158,76.466,30.51686589,76.46546756
Fategharh,Jiwanpura,128926,Y,30.5194511,76.4645844,30.519471,76.464585,30.312223,76.272045,30.5226,76.4558,30.46843628,76.4142536
Fategharh,Jiwanpura,128929,Y,30.51760833,76.46506333,30.58765667,76.42055833,30.526672,76.465722,30.5267,76.4657,30.53965925,76.45426092
Fategharh,Jiwanpura,128930,N,30.5176,76.46443,,,30.520317,76.473699,30.52029037,76.47370911,30.51940246,76.4706127
Fategharh,Jiwanpura,128931,Y,30.51770833,76.46501167,,,30.5190378,76.467118,30.51903915,76.46724701,30.5185951,76.46645889
Fategharh,Jiwanpura,128932,Y,30.51842667,76.46362333,,,,,30.5168,76.4657,30.51761333,76.46466167
Fategharh,Jiwanpura,128934,Y,30.51571,76.465015,,,30.522127,76.474183,30.5177,76.4638,30.51851233,76.467666
Fategharh,Jiwanpura,128940,N,,,,,30.526672,76.465722,30.52539063,76.46517944,30.52603131,76.46545072
