District,Village,HH_ID,Burnt,Latitude (Baseline measurement),Longitude_Baseline_measurement,Latitude_Endline_measurement,Longitude_Endline_measurement,Latitude_CCE_measurement,Longitude_CCE_measurement,Lat_Median,Lon_Median
Fategharh,Harlalpur,125901,N,30.6490307,76.3529205,30.649624,76.352744,30.390042,76.211009,30.5628989,76.30555783
Fategharh,Harlalpur,125902,Y,30.6485672,76.3535614,30.649511,76.352736,30.652352,76.352828,30.6501434,76.3530418
Fategharh,Harlalpur,125903,Y,30.648492,76.3530502,30.64931289,76.35276981,30.65242004,76.34850311,30.65007498,76.35144104
Fategharh,Harlalpur,125904,N,30.64919833,76.35352667,,,30.391714,76.210813,30.52045617,76.28216984
Fategharh,Harlalpur,125913,N,30.6492214,76.3529053,30.649286,76.352783,30.654881,76.352587,30.65112947,76.35275843
Fategharh,Harlalpur,125914,Y,30.649575,76.35264,,,30.648737,76.34499,30.649156,76.348815
Fategharh,Harlalpur,125916,Y,30.64839833,76.35344167,30.566612,76.545802,30.654444,76.351708,30.62315144,76.41698389
Fategharh,Harlalpur,125925,Y,30.65030333,76.35699167,,,30.653594,76.353034,30.65194867,76.35501284
Fategharh,Harlalpur,125929,Y,30.64949,76.35573833,,,30.64449221,76.355281,30.64699111,76.35550967
Fategharh,Harlalpur,125932,Y,30.649465,76.35462667,30.63063667,76.26836833,30.384145,76.211275,30.55474889,76.27809
Fategharh,Hussainpura,126606,Y,30.71694167,76.43517167,30.71813049,76.43478731,30.719872,76.463325,30.71831472,76.44442799
Fategharh,Hussainpura,126607,Y,30.71713,76.43605,,,30.721104,76.447059,30.719117,76.4415545
Fategharh,Hussainpura,126611,Y,30.70997333,76.44453667,,,30.708033,76.441763,30.70900317,76.44314984
Fategharh,Hussainpura,126628,Y,30.71777167,76.43795667,30.71817167,76.43773833,30.718751,76.437859,30.71823145,76.43785133
Fategharh,Hussainpura,126631,Y,30.7189846,76.436352,30.718175,76.437686,30.719104,76.436336,30.71875453,76.43679133
Fategharh,Hussainpura,126633,Y,30.71882333,76.43584167,,,30.231339,76.436441,30.47508117,76.43614134
Fategharh,Jiwanpura,128907,Y,,,,,30.525086,76.464407,30.525086,76.464407
Fategharh,Jiwanpura,128908,Y,30.53414667,76.49368167,30.76101667,76.08657,30.520358,76.471046,30.60517378,76.35043256
Fategharh,Jiwanpura,128914,Y,30.517,76.465,30.51607333,76.46718167,30.534156,76.480647,30.52240978,76.47094289
Fategharh,Jiwanpura,128921,N,30.51887667,76.46447667,,,30.515921,76.465926,30.51739884,76.46520134
Fategharh,Jiwanpura,128926,Y,30.5194511,76.4645844,30.519471,76.464585,30.312223,76.272045,30.4503817,76.4004048
Fategharh,Jiwanpura,128929,Y,30.51760833,76.46506333,30.58765667,76.42055833,30.526672,76.465722,30.543979,76.45044789
Fategharh,Jiwanpura,128930,N,30.5176,76.46443,,,30.520317,76.473699,30.5189585,76.4690645
Fategharh,Jiwanpura,128931,Y,30.51770833,76.46501167,,,30.5190378,76.467118,30.51837307,76.46606484
Fategharh,Jiwanpura,128932,Y,30.51842667,76.46362333,,,,,30.51842667,76.46362333
Fategharh,Jiwanpura,128934,Y,30.51571,76.465015,,,30.522127,76.474183,30.5189185,76.469599
Fategharh,Jiwanpura,128940,N,,,,,30.526672,76.465722,30.526672,76.465722
Fategharh,Jiwanpura,128941,Y,30.52383833,76.476765,30.517745,76.464789,30.534146,76.480651,30.52524311,76.47406833
Fategharh,Lallon Khurd,139501,N,30.61,76.123,30.611898,76.12301,30.371559,76.072503,30.53115233,76.106171
Fategharh,Lallon Khurd,139503,Y,30.60975333,76.1227,,,30.364963,76.07404,30.48735817,76.09837
Fategharh,Lallon Khurd,139505,N,30.6113491,76.1237869,30.610335,76.122145,30.610549,76.124583,30.61074437,76.12350497
Fategharh,Lallon Khurd,139506,Y,30.6119499,76.122879,,,30.365252,76.070824,30.48860095,76.0968515
Fategharh,Lallon Khurd,139507,Y,30.6113396,76.1227112,30.610445,76.12200667,30.371011,76.072689,30.53093187,76.10580229
Fategharh,Lallon Khurd,139510,N,30.61131,76.121295,,,30.363012,76.075365,30.487161,76.09833
Fategharh,Lallon Khurd,139512,Y,,,,,30.365208,76.071348,30.365208,76.071348
Fategharh,Lallon Khurd,139514,Y,30.61008833,76.12063167,30.605423,76.125412,,,30.60775567,76.12302184
Fategharh,Lallon Khurd,139517,Y,30.611,76.121,30.75,76.78,30.364982,76.071363,30.57532733,76.324121
Fategharh,Lallon Khurd,139518,Y,30.61023333,76.12292167,,,30.609983,76.125745,30.61010817,76.12433334
Fategharh,Lallon Khurd,139519,Y,30.6108723,76.1233215,30.78951,75.987165,30.610579,76.1240911,30.67032043,76.07819253
Fategharh,Lallon Khurd,139524,Y,30.61104833,76.12141667,,,30.616064,76.122157,30.61355617,76.12178684
Fategharh,Lallon Khurd,139528,Y,30.61044833,76.12312833,,,30.60945,76.125403,30.60994917,76.12426567
Fategharh,Mianpur,147301,Y,30.516,76.479,30.51612595,76.48051965,30.522709,76.48024,30.51827832,76.47991988
Fategharh,Mianpur,147303,Y,30.53019833,76.49804667,30.51574153,76.48103596,30.509683,76.474405,30.51854095,76.48449588
Fategharh,Mianpur,147305,Y,30.51613167,76.480635,,,30.303827,76.292548,30.40997934,76.3865915
Fategharh,Mianpur,147311,Y,30.51816333,76.48744333,30.517385,76.485601,30.51722,76.486347,30.51758944,76.48646378
